Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_G,EDAT_Q,SEXE
2022,1,Ciutat Vella,1,el Raval,1,1001,..,1,0,1
2022,1,Ciutat Vella,1,el Raval,1,1001,..,1,4,1
2022,1,Ciutat Vella,1,el Raval,1,1001,..,1,4,2
2022,1,Ciutat Vella,1,el Raval,1,1001,..,1,5,1
2022,1,Ciutat Vella,1,el Raval,1,1001,6,1,5,2
2022,1,Ciutat Vella,1,el Raval,1,1001,..,1,6,1
2022,1,Ciutat Vella,1,el Raval,1,1001,..,1,6,2
2022,1,Ciutat Vella,1,el Raval,1,1001,..,1,7,1
2022,1,Ciutat Vella,1,el Raval,1,1001,..,1,7,2
2022,1,Ciutat Vella,1,el Raval,1,1001,..,1,9,2
2022,1,Ciutat Vella,1,el Raval,1,1001,..,1,10,1
2022,1,Ciutat Vella,1,el Raval,1,1001,..,1,14,1
2022,1,Ciutat Vella,1,el Raval,1,1001,..,1,14,2
2022,1,Ciutat Vella,1,el Raval,1,1001,..,2,0,2
2022,1,Ciutat Vella,1,el Raval,1,1001,..,2,3,1
2022,1,Ciutat Vella,1,el Raval,1,1001,5,2,4,1
2022,1,Ciutat Vella,1,el Raval,1,1001,..,2,4,2
2022,1,Ciutat Vella,1,el Raval,1,1001,6,2,5,1
2022,1,Ciutat Vella,1,el Raval,1,1001,..,2,5,2
2022,1,Ciutat Vella,1,el Raval,1,1001,7,2,6,1
2022,1,Ciutat Vella,1,el Raval,1,1001,..,2,6,2
2022,1,Ciutat Vella,1,el Raval,1,1001,..,2,7,2
2022,1,Ciutat Vella,1,el Raval,1,1001,..,2,9,2
2022,1,Ciutat Vella,1,el Raval,1,1001,..,2,10,1
2022,1,Ciutat Vella,1,el Raval,1,1001,..,2,11,1
2022,1,Ciutat Vella,1,el Raval,1,1001,..,3,0,1
2022,1,Ciutat Vella,1,el Raval,1,1001,..,3,1,1
2022,1,Ciutat Vella,1,el Raval,1,1001,..,3,2,2
2022,1,Ciutat Vella,1,el Raval,1,1001,..,3,3,2
2022,1,Ciutat Vella,1,el Raval,1,1001,12,3,4,1
2022,1,Ciutat Vella,1,el Raval,1,1001,5,3,4,2
2022,1,Ciutat Vella,1,el Raval,1,1001,10,3,5,1
2022,1,Ciutat Vella,1,el Raval,1,1001,6,3,5,2
2022,1,Ciutat Vella,1,el Raval,1,1001,..,3,6,1
2022,1,Ciutat Vella,1,el Raval,1,1001,16,3,6,2
2022,1,Ciutat Vella,1,el Raval,1,1001,..,3,7,1
2022,1,Ciutat Vella,1,el Raval,1,1001,..,3,7,2
2022,1,Ciutat Vella,1,el Raval,1,1001,..,3,8,2
2022,1,Ciutat Vella,1,el Raval,1,1001,..,3,9,1
2022,1,Ciutat Vella,1,el Raval,1,1001,..,3,9,2
2022,1,Ciutat Vella,1,el Raval,1,1001,..,3,10,1
2022,1,Ciutat Vella,1,el Raval,1,1001,..,3,10,2
2022,1,Ciutat Vella,1,el Raval,1,1001,..,3,11,1
2022,1,Ciutat Vella,1,el Raval,1,1001,..,3,12,1
2022,1,Ciutat Vella,1,el Raval,1,1001,..,3,12,2
2022,1,Ciutat Vella,1,el Raval,1,1001,..,3,13,1
2022,1,Ciutat Vella,1,el Raval,1,1001,..,3,13,2
2022,1,Ciutat Vella,1,el Raval,1,1001,..,3,15,1
2022,1,Ciutat Vella,1,el Raval,1,1001,..,3,15,2
2022,1,Ciutat Vella,1,el Raval,1,1001,..,3,17,1
2022,1,Ciutat Vella,1,el Raval,1,1002,..,1,3,1
2022,1,Ciutat Vella,1,el Raval,1,1002,..,1,4,1
2022,1,Ciutat Vella,1,el Raval,1,1002,..,1,4,2
2022,1,Ciutat Vella,1,el Raval,1,1002,..,1,5,1
2022,1,Ciutat Vella,1,el Raval,1,1002,..,1,6,2
2022,1,Ciutat Vella,1,el Raval,1,1002,..,1,7,2
2022,1,Ciutat Vella,1,el Raval,1,1002,..,1,8,1
2022,1,Ciutat Vella,1,el Raval,1,1002,..,1,9,1
2022,1,Ciutat Vella,1,el Raval,1,1002,..,1,9,2
2022,1,Ciutat Vella,1,el Raval,1,1002,..,1,10,1
2022,1,Ciutat Vella,1,el Raval,1,1002,..,1,10,2
2022,1,Ciutat Vella,1,el Raval,1,1002,..,1,11,2
2022,1,Ciutat Vella,1,el Raval,1,1002,..,1,14,2
2022,1,Ciutat Vella,1,el Raval,1,1002,..,1,15,1
2022,1,Ciutat Vella,1,el Raval,1,1002,..,1,16,1
2022,1,Ciutat Vella,1,el Raval,1,1002,..,1,17,2
2022,1,Ciutat Vella,1,el Raval,1,1002,..,1,18,1
2022,1,Ciutat Vella,1,el Raval,1,1002,11,2,4,1
2022,1,Ciutat Vella,1,el Raval,1,1002,..,2,4,2
2022,1,Ciutat Vella,1,el Raval,1,1002,5,2,5,1
2022,1,Ciutat Vella,1,el Raval,1,1002,10,2,5,2
2022,1,Ciutat Vella,1,el Raval,1,1002,..,2,6,1
2022,1,Ciutat Vella,1,el Raval,1,1002,6,2,6,2
2022,1,Ciutat Vella,1,el Raval,1,1002,..,2,7,1
2022,1,Ciutat Vella,1,el Raval,1,1002,..,2,7,2
2022,1,Ciutat Vella,1,el Raval,1,1002,..,2,9,1
2022,1,Ciutat Vella,1,el Raval,1,1002,..,2,13,2
2022,1,Ciutat Vella,1,el Raval,1,1002,..,3,0,1
2022,1,Ciutat Vella,1,el Raval,1,1002,..,3,1,1
2022,1,Ciutat Vella,1,el Raval,1,1002,..,3,1,2
2022,1,Ciutat Vella,1,el Raval,1,1002,..,3,3,2
2022,1,Ciutat Vella,1,el Raval,1,1002,16,3,4,1
2022,1,Ciutat Vella,1,el Raval,1,1002,9,3,4,2
2022,1,Ciutat Vella,1,el Raval,1,1002,13,3,5,1
2022,1,Ciutat Vella,1,el Raval,1,1002,17,3,5,2
2022,1,Ciutat Vella,1,el Raval,1,1002,7,3,6,1
2022,1,Ciutat Vella,1,el Raval,1,1002,16,3,6,2
2022,1,Ciutat Vella,1,el Raval,1,1002,8,3,7,1
2022,1,Ciutat Vella,1,el Raval,1,1002,7,3,7,2
2022,1,Ciutat Vella,1,el Raval,1,1002,5,3,8,1
2022,1,Ciutat Vella,1,el Raval,1,1002,5,3,8,2
2022,1,Ciutat Vella,1,el Raval,1,1002,..,3,9,1
2022,1,Ciutat Vella,1,el Raval,1,1002,5,3,9,2
2022,1,Ciutat Vella,1,el Raval,1,1002,..,3,10,1
2022,1,Ciutat Vella,1,el Raval,1,1002,..,3,10,2
2022,1,Ciutat Vella,1,el Raval,1,1002,..,3,11,1
